customerID,gender,SeniorCitizen,Partner,Dependents,tenure,Contract,InternetService,PhoneService,PaymentMethod,PaperlessBilling,MonthlyCharges,TotalCharges,Churn
CUST00001,Male,0,No,No,66,One year,Fiber optic,Yes,Electronic check,Yes,79.47,5185.07,No
CUST00002,Female,1,No,No,24,Month-to-month,Fiber optic,Yes,Credit card,No,77.57,1995.87,Yes
CUST00003,Male,0,No,No,60,Month-to-month,Fiber optic,Yes,Electronic check,Yes,77.08,4604.47,No
CUST00004,Male,0,Yes,No,25,Month-to-month,No,Yes,Credit card,No,35.73,955.24,No
CUST00005,Male,0,Yes,No,33,Month-to-month,Fiber optic,Yes,Mailed check,Yes,69.77,2262.3,No
CUST00006,Female,1,Yes,No,8,Month-to-month,Fiber optic,No,Bank transfer,Yes,83.75,647.61,Yes
CUST00007,Male,0,Yes,Yes,39,One year,Fiber optic,Yes,Electronic check,No,95.73,3913.9,Yes
CUST00008,Male,0,Yes,No,6,Month-to-month,DSL,Yes,Electronic check,Yes,43.32,246.96,No
CUST00009,Male,0,Yes,No,29,Month-to-month,Fiber optic,Yes,Mailed check,Yes,76.15,2141.57,No
CUST00010,Female,0,Yes,Yes,65,Month-to-month,Fiber optic,Yes,Mailed check,No,67.59,4397.85,No
CUST00011,Male,0,Yes,Yes,29,Month-to-month,DSL,Yes,Electronic check,Yes,77.76,2125.95,No
CUST00012,Male,0,Yes,No,67,Month-to-month,Fiber optic,Yes,Mailed check,Yes,85.97,5654.84,No
CUST00013,Male,0,No,No,57,Month-to-month,No,Yes,Electronic check,No,33.0,1969.98,No
CUST00014,Male,0,No,Yes,54,Month-to-month,No,Yes,Credit card,No,38.53,2103.63,No
CUST00015,Female,0,Yes,No,13,One year,No,Yes,Credit card,No,28.07,384.51,No
CUST00016,Male,0,Yes,No,36,Month-to-month,DSL,Yes,Electronic check,Yes,66.34,2373.9,No
CUST00017,Female,0,Yes,Yes,43,One year,DSL,Yes,Bank transfer,Yes,62.14,2570.56,No
CUST00018,Female,0,No,Yes,5,Two year,Fiber optic,Yes,Mailed check,Yes,86.58,508.18,No
CUST00019,Female,1,Yes,No,25,Month-to-month,DSL,No,Credit card,Yes,46.18,1288.93,No
CUST00020,Male,0,No,No,13,Month-to-month,Fiber optic,Yes,Electronic check,Yes,85.77,999.02,Yes
CUST00021,Female,1,Yes,No,7,Month-to-month,DSL,Yes,Electronic check,No,56.62,432.05,Yes
CUST00022,Male,0,Yes,No,23,Month-to-month,Fiber optic,Yes,Credit card,Yes,66.96,1399.46,No
CUST00023,Female,0,Yes,Yes,38,Two year,DSL,Yes,Credit card,No,53.73,1992.86,No
CUST00024,Female,1,Yes,No,48,Month-to-month,Fiber optic,Yes,Credit card,No,54.3,2782.79,Yes
CUST00025,Female,0,No,No,62,Month-to-month,No,Yes,Electronic check,Yes,22.92,1504.31,No
CUST00026,Female,0,No,No,25,Month-to-month,No,Yes,Electronic check,Yes,18.0,485.41,No
CUST00027,Female,0,No,No,9,Month-to-month,No,Yes,Electronic check,No,36.57,187.95,Yes
CUST00028,Female,0,No,Yes,57,Month-to-month,Fiber optic,Yes,Credit card,Yes,73.09,4240.73,No
CUST00029,Female,0,No,No,13,Month-to-month,No,Yes,Mailed check,No,22.3,311.23,Yes
CUST00030,Female,0,No,Yes,72,Month-to-month,Fiber optic,Yes,Credit card,Yes,87.83,6296.66,Yes
